EUWI,Eurasian Wigeon
EUWO,Eurasian Woodcock
EUWR,Eurasian Wryneck
EVGR,Evening Grosbeak
EWCS,Eastern White-crowned Sparrow
EWPW,Eastern Whip-poor-will
EWWA,Elfin-woods Warbler
EYTH,Eyebrowed Thrush
EYWA,Eastern Yellow Wagtail
FAAN,Fasciated Antshrike
FADU,Falcated Duck
FBAR,Fiery-billed Aracari
FBVI,Flat-billed Vireo
FCTA,Flame-colored Tanager
FECU,Far Eastern Curlew
FEFL,Fernandina's Flicker
FEHA,Ferruginous Hawk
FEPE,Fea's Petrel
FEPO,Ferruginous Pygmy-Owl
FFSH,Flesh-footed Shearwater
FGSP,Florida Grasshopper Sparrow
FICR,Fish Crow
FIEL,Fieldfare
FINC_UNI,Unidentified Finch
FISP,Field Sparrow
FLFL,Flammulated Flycatcher
FLOW,Flammulated Owl
FLSJ,Florida Scrub-Jay
FOEL,Forest Elaenia
FOSP,Fox Sparrow
FOTE,Forster's Tern
FOTH,Forest Thrush
FRGU,Franklin's Gull
FRTA,Flame-rumped Tanager
FSSP,Five-striped Sparrow
FTFL,Fork-tailed Flycatcher
FTHE,Fasciated Tiger-Heron
FTHU,Fiery-throated Hummingbird
FTHW,Flame-throated Warbler
FTSP,Fork-tailed Storm-Petrel
FTSW,Fork-tailed Swift
FTWA,Fan-tailed Warbler
FUOW,Fulvous Owl
FUWD,Fulvous Whistling-Duck
FVEU,Fulvous-vented Euphonia
GABU,Greater Antillean Bullfinch
GADW,Gadwall
GAEL,Greater Antillean Elaenia
GAEM,Garden Emerald
GAGR,Greater Antillean Grackle
GAGT,Gray-and-gold Tanager
GAKI,Greater Akialoa
GANI,Greater Antillean Nightjar
GANT,Great Antshrike
GAPE,Galapagos Petrel
GAQU,Gambel's Quail
GARG,Garganey
GARK,Green-and-rufous Kingfisher
GATH,Garnet-throated Hummingbird
GATR,Gartered Trogon
GBAN,Groove-billed Ani
GBAT,Gray-backed Tern
GBBG,Great Black-backed Gull
GBCH,Golden-browed Chlorophonia
